,length,wingLength,appliedElectricField,activeMaterialThickness,multiLayers,staticStrokeAmplitude,operatingFrequency,width,transmissionRatio,naturalFrequency,strokeAmplitude,netThrust,loadedDisplacement,liftableMass,totalMechanicalMass,appliedVoltage,intBulk,intCapacitance,intResistance,intInductance,averageCurrent,xt018-m0-mass,xt018-m0-area,xt018-m0-current,xt018-mem-mass,xt018-mem-area,xt018-mem-current,IMU-sensor-mass,IMU-sensor-area,IMU-sensor-current,total-additional-mass,total-additional-current,ccount,boost-frequency,inductance,boost-mass,vin,load,battery-mass,battery-alpha,runtime,runtime-new
203,0.007,0.0095,450000.0,0.000127,1.0,25.0,375.0,0.0021203575937949,5824.879134963618,351.11917342151344,134.3022102061171,0.0,0.0004024144890376,0.3448625033830956,0.0922253776136322,57.15,6.056127177248329e-09,9.602647041906895e-10,1025.1583208273337,1.4406740199390091,0.0001480874684381,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,671855.366162597,1.9e-06,0.12776,3.4312723165150665,0.0340161624664472,0.0846971257694632,0.255580099319535,148.38561323345442,2.410649053173311
204,0.007,0.0095,450000.0,0.000127,1.0,25.0,400.0,0.0024686447891053,5824.879134963618,385.3528593710531,135.4787991404893,0.0,0.0004059399443082,0.416480937078643,0.1073741988310939,57.15,7.333180226719528e-09,1.0591271855368435e-09,978.72002811929,1.3080381292636123,0.0001921723838435,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,949969.238183441,1.9e-06,0.12776,3.301237268663733,0.0504762951058565,0.1411667382475489,0.3375120057421062,220.09771864124784,3.576012171981106
205,0.007,0.0095,450000.0,0.000127,1.0,30.0,400.0,0.0035777219685515,6989.85496195634,385.3528593710531,137.5670864297458,0.0,0.0003434976281543,0.5260996711521817,0.1556137325665455,57.15,1.07702599371032e-08,1.2475119720696231e-09,767.8894094345203,1.0527092257420598,0.0002720334629924,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,1139964.2338421147,1.9e-06,0.12776,3.169715912411033,0.0671245680492363,0.2025459385856361,0.4038725669919281,284.1631744475033,4.631224616661841
206,0.007,0.0095,450000.0,0.000127,1.0,35.0,400.0,0.0049064142576635,8154.830788949064,385.3528593710531,139.27622858575234,0.0,0.0002980845122961,0.5061463166399118,0.2134054694199267,57.15,1.3427644515327057e-08,1.1799280387839447e-09,369.2817227009417,1.1342772024732115,0.0003290587874759,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,1091633.2531336818,1.9e-06,0.12776,3.179067533983029,0.0659408184831609,0.1248008472199851,0.3995962877958967,176.34617775092642,2.8648974761575006
207,0.007,0.0095,450000.0,0.000127,1.0,40.0,400.0,0.0064636436445247,9319.806615941789,385.3528593710531,140.834781404645,0.0,0.0002637426652858,0.5122586653542075,0.2811374730473324,57.15,1.9469390578098963e-08,1.31325965057362e-09,315.46929015467697,1.0739037620022396,0.0004650851865126,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,1452336.046363106,1.9e-06,0.12776,3.4641091803071937,0.0298595974294691,0.063181192306875,0.231582172209373,114.2589945579012,1.856233344242671
208,0.007,0.0095,500000.0,0.000127,1.0,20.0,375.0,0.0010932083932926,4193.912977173804,351.11917342151344,132.5307749011517,0.0,0.00055153704782,0.3238063592984308,0.0475493177079403,63.5,3.001232786585201e-09,5.298716985373774e-10,1281.206,2.9900478553798338,8.680008603238098e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,631494.9242757065,1.9e-06,0.12776,3.4211190564325245,0.0353013852617057,0.1083170415904903,0.2626998447023626,187.9517024053613,3.0534534458812734
209,0.007,0.0095,500000.0,0.000127,1.0,20.0,400.0,0.001272999475754,4193.912977173804,385.3528593710531,132.49898742095743,0.0,0.000551404761768,0.4664280413882332,0.0553693667978176,63.5,3.360814951508104e-09,5.648419630315416e-10,1281.206,2.953704885971076,0.0001041682609733,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,559970.8517428072,1.9e-06,0.12776,3.4023598900050382,0.0376759632905015,0.2431186745904156,0.2755022494901286,414.5343362334944,7.69225780343546
210,0.007,0.0095,500000.0,0.000127,1.0,25.0,375.0,0.0017174896509739,5242.391221467256,351.11917342151344,134.30221020611717,0.0,0.0004471272100417,0.3589047305677129,0.074702555867042,63.5,4.4847746038957934e-09,7.158738313861029e-10,1210.7122094156312,2.476069299947512,0.000124058516878,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,796796.8788451286,1.9e-06,0.12776,3.2620873283301903,0.0554319837556721,0.1162621747006706,0.3587603993788552,175.4542634213581,2.8504070168481834
211,0.007,0.0095,500000.0,0.000127,1.0,25.0,400.0,0.0019996022791753,5242.391221467256,385.3528593710531,135.47879914048914,0.0,0.0004510443825647,0.4065146088237432,0.0869731010531861,63.5,5.613225116701254e-09,9.258048404232383e-10,1041.444632494812,1.4879021126414618,0.0001681520409793,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,1026768.1152458563,1.9e-06,0.12776,3.139196885703148,0.0709877359869433,0.151601507770557,0.4174140565920502,207.85892217976408,3.3769709409033215
212,0.007,0.0095,500000.0,0.000127,1.0,30.0,375.0,0.0024896243422991,6290.869465760706,351.11917342151344,135.6932478143091,0.0,0.0003764652819414,0.3571008916787546,0.1082867086931709,63.5,7.410105255096961e-09,1.0650823016427606e-09,975.9227543601106,1.3000486258844883,0.000197079471772,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,784663.5842849937,1.9e-06,0.12776,3.274996113487184,0.053797960318078,0.0808741829855836,0.3519064633025402,123.35386034352176,2.003987079453903
