,length,wingLength,appliedElectricField,activeMaterialThickness,multiLayers,staticStrokeAmplitude,operatingFrequency,width,transmissionRatio,naturalFrequency,strokeAmplitude,netThrust,loadedDisplacement,liftableMass,totalMechanicalMass,appliedVoltage,intBulk,intCapacitance,intResistance,intInductance,averageCurrent,xt018-m0-mass,xt018-m0-area,xt018-m0-current,xt018-mem-mass,xt018-mem-area,xt018-mem-current,IMU-sensor-mass,IMU-sensor-area,IMU-sensor-current,total-additional-mass,total-additional-current,cp-frequency,cp-capacitance,N,M,cp-area,cp-mass,vin,load,battery-mass,battery-alpha,runtime,ccount,runtime-new
399,0.011,0.0115,400000.0,0.000127,1.0,20.0,300.0,0.001940274540321,2122.951816957814,265.6087782946687,154.2160407367739,0.0,0.0012678468012069,0.7879448787270211,0.1326169887211296,50.8,8.747642701605396e-09,1.2322489402943059e-09,832.0101838715684,5.589169922828265,0.0001413486328073,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1000000.0,3.4763942731610273e-09,24.0,4.0,,0.3814655965615292,3.613405794291314,0.010961291861859,0.2378122934443623,0.099612727531738,503.92835645167526,1.0,13.194725357973107
400,0.011,0.0115,400000.0,0.000127,1.0,20.0,325.0,0.0025723834156842,2122.951816957814,291.5053062825179,150.0961031900981,0.0,0.0012339758133721,0.967464466670093,0.175821377508655,50.8,1.1755551500905644e-08,1.781820903586144e-09,731.8022112420945,4.28249136580439,0.0002075216223977,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,9.476926802369459e-10,24.0,3.0,,0.1039905503281318,3.5172669824509333,0.0231307617150717,0.6516025388333062,0.1892728757831619,1243.2618851602952,1.0,434.29069273985294
401,0.011,0.0115,400000.0,0.000127,1.0,20.0,350.0,0.0035439723665633,2122.951816957814,291.5053062825179,162.8876386401231,0.0,0.0013391380729228,1.1328572140801811,0.2422290936656552,50.8,1.6307502010732122e-08,2.6438417028235496e-09,602.2570177915594,2.665279296790807,0.0002879460860415,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,7.979377841230524e-10,24.0,4.0,,0.0875579088337157,3.515808949685724,0.0233153228245918,0.76702021158081,0.19049540137347,1461.2727207130793,1.0,628.0680547508315
402,0.011,0.0115,400000.0,0.000127,1.0,25.0,250.0,0.0017784396243535,2653.689771197268,220.5130739903045,127.88398421681435,0.0,0.000841091754348,0.2901443164101805,0.1215556369487155,50.8,7.938468121767762e-09,1.1635158712988218e-09,896.7441502585789,6.453858733890238,0.0001085219935089,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,4.4797514904638467e-10,24.0,3.0,,0.0491564230199741,3.608639602003315,0.0115646073413525,0.0833822564414907,0.1045223973516183,175.72498707020804,1.0,2.8548053149038255
403,0.011,0.0115,400000.0,0.000127,1.0,25.0,275.0,0.0023321039297515,2653.689771197268,242.0128264794384,142.9198546883576,0.0,0.0009399825321926,0.5509248332707228,0.159398370756946,50.8,1.0618228600823967e-08,1.5617657419843555e-09,763.8394760331277,4.697058377790077,0.0001564392524624,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,6.763851755952697e-10,24.0,3.0,,0.0742199112758326,3.565600860701647,0.0170125492782725,0.281256551237944,0.1465457950692019,564.9213889031673,1.0,20.73070565347043
404,0.011,0.0115,400000.0,0.000127,1.0,25.0,300.0,0.0030505874981596,2653.689771197268,265.6087782946687,156.41148669171278,0.0,0.0010287168682411,0.8450114132747701,0.2085064352642159,50.8,1.401905082462256e-08,2.2197745484395944e-09,668.0416669120406,3.457420358091841,0.0002261232835121,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,5.939317422674052e-10,24.0,4.0,,0.0651722758060042,3.5581912954590127,0.0179504689292389,0.5352827022045499,0.1533857802226024,1066.5320638499036,1.0,283.5341691372579
405,0.011,0.0115,400000.0,0.000127,1.0,25.0,325.0,0.004042970711193,2653.689771197268,291.5053062825179,159.7883618965033,0.0,0.0010509265445161,1.0979300372240577,0.2763354309217575,50.8,1.813716260770769e-08,2.785484046274505e-09,535.7239051742658,2.475249083861109,0.0003171660750084,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,9.033188389572087e-10,24.0,4.0,,0.0991213978369473,3.494999958290688,0.0259493723682673,0.6864232084653529,0.2075498988656121,1280.1740886657942,1.0,466.86198195373896
406,0.011,0.0115,400000.0,0.000127,1.0,25.0,350.0,0.0055681497165851,2653.689771197268,291.5053062825179,177.52484329823324,0.0,0.0011675792148994,1.3457981604294276,0.3805808058687114,50.8,2.3918868866340787e-08,3.11074378946038e-09,398.12965538356593,2.0851244047029804,0.0004076472532792,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,1.2781009118706664e-09,24.0,4.0,,0.1402463266542133,3.426358896570701,0.0346381143581391,0.7889210279065026,0.2590426149416173,1375.7258932038344,1.0,551.8149881397075
407,0.011,0.0115,400000.0,0.000127,1.0,30.0,275.0,0.0033852127931473,3184.427725436721,242.0128264794384,144.00390087008475,0.0,0.0007892602447285,0.577063765587475,0.231377940326501,50.8,1.5602943887563913e-08,2.526234432348097e-09,623.4249609136926,2.8800734899673195,0.0002297757888789,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,6.05349922537849e-10,24.0,4.0,,0.0664251955286429,3.55574239238526,0.0182604566600936,0.2432106297323309,0.1556223915211734,483.308472847444,1.0,11.455192165818344
408,0.011,0.0115,400000.0,0.000127,1.0,30.0,300.0,0.0044260039909064,3184.427725436721,265.6087782946687,158.2045043443925,0.0,0.00086709127365,0.8510074850865793,0.3025156023768616,50.8,1.95416179666571e-08,2.894209319498774e-09,484.6528012124691,2.329381073503024,0.0003098293875956,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,8.76251543658881e-10,24.0,4.0,,0.0961512968826343,3.500277504492914,0.0252813285452006,0.4162905858270832,0.2032929416486917,780.5494157779495,1.0,89.48185391693218
